place,Type,Open,lat,long,notes1,notes2,website
Life of Pie,Food,open,45.54940794,-122.6665283,Pizza,,"https://www.google.com/maps/place/Life+of+Pie+Pizza/@45.5488077,-122.6662653,18.76z/data=!3m1!5s0x5495a73f7e90becb:0x2ebd9e2559925bb7!4m5!3m4!1s0x5495a73f81f0b5df:0x4f2f17071f435088!8m2!3d45.5493894!4d-122.6665304"
Grand Central Bakery,Food,open,45.51195355,-122.6426209,Cafe,,"https://www.google.com/maps/place/Grand+Central+Bakery+-+Hawthorne+cafe/@45.5120622,-122.6431719,19.31z/data=!3m1!5s0x5495a09bd119a47b:0x8ffa6586e294d81!4m5!3m4!1s0x5495a09bd6944e85:0x5f46c5899082fcf3!8m2!3d45.5119317!4d-122.6426213"
Fried Egg I'm In Love,Food,open,45.51215408,-122.6276446,Breakfast Sandwiches,,"https://www.google.com/maps/place/Fried+Egg+I'm+In+Love/@45.5121648,-122.6279933,19.58z/data=!4m5!3m4!1s0x5495a091b02c239f:0x9362de10eff43d8f!8m2!3d45.512159!4d-122.6276448"
Apizza Scholls,Food,open,45.5121249,-122.6131343,Pizza,,"https://www.google.com/maps/place/Apizza+Scholls/@45.5120217,-122.6132844,20.31z/data=!3m1!5s0x5495a0f393c0f42d:0xa92a166d59b0c928!4m5!3m4!1s0x5495a0f393c573a1:0xfdc1361a64a657fc!8m2!3d45.5121186!4d-122.6131304"
Keeper,Coffee,open,45.48999519,-122.6199736,Coffee,,"https://www.google.com/maps/place/Keeper+Coffee+Co/@45.490173,-122.6210377,18.12z/data=!4m12!1m6!3m5!1s0x54950b1de95b50c1:0x81cb7d42ff5e6ae7!2sKeeper+Coffee+Co!8m2!3d45.4899881!4d-122.619976!3m4!1s0x54950b1de95b50c1:0x81cb7d42ff5e6ae7!8m2!3d45.4899881!4d-122.619976"
Coava,Coffee,open,45.51223248,-122.6385,Coffee,,"https://www.google.com/maps/place/Coava+Coffee+Roasters/@45.5120888,-122.6396312,17.5z/data=!3m1!5s0x5495a09a7321552b:0x72568bfe16fae33b!4m5!3m4!1s0x5495a09a7241025b:0x66d8129f57be9989!8m2!3d45.5122058!4d-122.6385269"
Portland Coffee Roasters,Coffee,open,45.52016639,-122.6573083,Coffee,,"https://www.google.com/maps/place/Portland+Coffee+Roasters/@45.5201642,-122.6573173,19.72z/data=!3m1!5s0x5495a0a683162cc5:0x63361d01a7d54db0!4m5!3m4!1s0x0:0xc1b9a2c72793494f!8m2!3d45.5201674!4d-122.6573095"
Broken Robot,Coffee,open,45.49318393,-122.6361837,Coffee,,"https://www.google.com/maps/place/Broken+Robot+Coffee/@45.4932242,-122.6362102,20.99z/data=!4m5!3m4!1s0x54950b4700fac5d9:0x800e88ca47f0761a!8m2!3d45.4931834!4d-122.6361854"
Scottie's Pizza,Food,open,45.50467814,-122.643941,Pizza,,"https://www.google.com/maps/place/Scottie's+Pizza+Parlor/@45.5046881,-122.644465,18.89z/data=!3m1!5s0x5495a082f2b6e21d:0xd3862f6dfabc2805!4m5!3m4!1s0x5495a0828d512d21:0xc937fcb4ad1b244e!8m2!3d45.5046661!4d-122.6439468"
Spielman Bagels,Food,open,45.50497235,-122.6442115,Bagels,,"https://www.google.com/maps/place/Spielman+Bagels+and+Coffee+Roasters/@45.5048607,-122.6449619,19.22z/data=!4m5!3m4!1s0x5495a082ed104dbb:0xcfdc2d4cf033b04f!8m2!3d45.5049635!4d-122.6442227"
